Column 1,Sync_ends,Column 3
"Can you build, or package, your software using an automated tool?* e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",Yes,Can install with PyPi
Do you provide publicly-available instructions for deploying your software?,Yes,
Does your documentation list all third-party dependencies?,Yes,Postman and Slack are mentioned
Does your documentation list the version number for all third-party dependencies?,No,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,Web addresses and mandatory
"Can you download dependencies using a dependency management tool or package manager?* e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",No,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,
Do you have an automated test suite for your software?,Yes,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,
Are your test results publicly visible?,Yes,
Are all manually-run tests documented?,No,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
Does your website state how many projects and users are associated with your project?,No,
Do you provide success stories on your website?,No,
Do you list your important partners and collaborators on your website?,No,
Do you list your project's publications on your website or link to a resource where these are available?,No,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Can users subscribe to notifications to changes to your source code repository?,Yes,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,
Do you have a contributions policy?,Yes,there is a CONTRIBUTING.md file
Is your contributions' policy publicly available?,Yes,
Do contributors keep the copyright/IP of their contributions?,No,
Does your website and documentation clearly state the copyright owners of your software and documentation?,No,
Does each of your source code files include a copyright statement?,No,
Does your website and documentation clearly state the licence of your software?,Yes,
Is your software released under an open source licence?,Yes,MIT License
Is your software released under an OSI-approved open-source licence?,Yes,
Does each of your source code files include a licence header?,No,
Do you have a recommended citation for your software?,No,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,There is one but it is out of date
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
Video,3,
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,2,
"but nevertheless, here is a track record that everyone is contributing a lot)",1,Some members have very few commits compared to the median number of commits
Number of commits,3,GitHub
Number of commits: by different people,3,
Issues reports: there are many,3,
Issues are being closed,3,All issues closed
DOI badge: exists,3,
"Docs: doco generated, format not ugly",3,
Docs: what: point descriptions of each class/function (in isolation),0,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,One use case discussed
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,Has a fluff video that is not very useful
Use of version control tools,3,
Use of style checkers,3,
Use of code formatters.,3,
Use of syntax checkers.,3,
Use of code coverage,3,
Other automated analysis tools,0,
Test cases exist,3,
Test cases are routinely executed,3,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
Issues are discussed before they are closed,2,Most are discussed
Chat channel: exists,0,
Test cases: a large proportion of the issues related to handling failing cases.,0,No issues related to failing test cases
Evidence that the whole team is using the same tools: everyone can get to all tools and files,0,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",0,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",0,No evidence of team using same tools but also no evidence that they are not
Evidence that the members of the team are working across multiple places in the code base,3,There are multiple closed PR branches in the repo
Short release cycles,3,
