,Column1,Column2,Column3
13.1,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
13.2,Does your website state how many projects and users are associated with your project?,No,
13.3,Do you provide success stories on your website?,No,
13.4,Do you list your important partners and collaborators on your website?,No,
13.5,Do you list your project's publications on your website or link to a resource where these are available?,No,
13.6,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
13.7,Can users subscribe to notifications to changes to your source code repository?,Yes,Watch function in GH
13.8,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
14.1,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,Mentioned in GH
14.2,Do you have a contributions policy?,Yes,there is a CONTRIBUTING.md file
14.3,Is your contributions' policy publicly available?,Yes,in GH
14.4,Do contributors keep the copyright/IP of their contributions?,No,
15.1,Does your website and documentation clearly state the copyright owners of your software and documentation?,No,
15.2,Does each of your source code files include a copyright statement?,No,
15.3,Does your website and documentation clearly state the licence of your software?,Yes,In GH
15.4,Is your software released under an open source licence?,Yes,MIT License
15.5,Is your software released under an OSI-approved open-source licence?,Yes,
15.6,Does each of your source code files include a licence header?,No,
15.7,Do you have a recommended citation for your software?,No,
16.1,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
16.2,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
16.3,"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
,Video,3,Link provided in GH
,Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,3,Everyone has been contributing a similar ammount
,"but nevertheless, here is a track record that everyone is contributing a lot)",3,Everyone has contributed a lot
,Number of commits,3,GitHub
,Number of commits: by different people,3,
,Issues reports: there are many,3,
,Issues are being closed,3,All issues closed
,DOI badge: exists,3,
,"Docs: doco generated, format not ugly",3,Readme in GH
,Docs: what: point descriptions of each class/function (in isolation),0,
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,One use case discussed
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,in GH
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,Has a fluff video that is not very useful
,Use of version control tools,3,GitHub
,Use of style checkers,3,PyLint
,Use of code formatters.,3,PyLint
,Use of syntax checkers.,3,PyLint
,Use of code coverage,3,CodeCoverage
,Other automated analysis tools,0,
,Test cases exist,3,5 Test Suites Exist
,Test cases are routinely executed,3,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
,Issues are discussed before they are closed,2,Most are discussed
,Chat channel: exists,3,Have a discord channel for team members
,Test cases: a large proportion of the issues related to handling failing cases.,3,
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
,Evidence that the members of the team are working across multiple places in the code base,3,There are multiple closed PR branches in the repo
,Short release cycles,3,
